abstract,author,title,year
,,,
,"Hitendra Jadeja, Ila Parmar, Sarang Masani",Circular Polarized Microstrip Patch Antenna Works on Triple-Band,"Home,Vol 1, No 9 (2012),Jadeja"
,"S. Rajeswari, C. Rekha",High Gain Small Size Good Polarization ICCLMA,"Home,Vol 1, No 9 (2012),Rajeswari"
,,,
,,,
,,,
,"SHAILESH SHARMA, Prof. Paramjeet Kour",HVDC GRID CONNECTION PROBLEMS & SOLUTIONS,"Home,Vol 1, No 9 (2012),SHARMA"
,"Abdul Samee Khan, Prof. Mohd. Sarwar Raeen",Wavelength Variation Approach in Single Mode-Multimode-Single Mode Optical Fiber as a Bending Sensor,"Home,Vol 1, No 9 (2012),Khan"
,"N.Narender Reddy, Dr P.S. Sarma",Solar Powered Vehicle,"Home,Vol 1, No 10 (2012),Reddy"
,"Saurabh Chatterjee, Prof. Balram Timande",RFID based Traffic Control System using ARM processor perspective Kolkata and other densely populated cities,"Home,Vol 1, No 10 (2012),Chatterjee"
,"S. K. Kapde, Mr. S.V. Patil",Image compression using BTC and AMBTC,"Home,Vol 1, No 10 (2012),Kapde"
,Ahmed Nabih Zaki Rashed,Optical Wireless Link Budget Analysis for Optical Wireless Communication Networks,"Home,Vol 1, No 10 (2012),Rashed"
,"G.Uday kumar, E.Mahender reddy",Implementation of DWT-SWT based Image superresolution on DM3730 processor,"Home,Vol 1, No 10 (2012),kumar"
 ,"Dr.K. Thanushkodi, Y. Baby Kalpana, M. Sharrath","IMAGE PROCESSING AND REMOTE SENSING – A LULC CHANGE DETECTION USING REMOTELY SENSED DATA FOR COIMBATORE DISTRICT, INDIA","Home,Vol 1, No 10 (2012),Thanushkodi"
,"Prof. Rashmi Ramesh Chavan, Prof. Manoj Sabnees",Mobile Ticketing For Public Road Transport,"Home,Vol 1, No 10 (2012),Chavan"
,Ahmed Nabih Zaki Rashed,Transmission Capacity Improvement of Ultra Wide Wavelength Division Multiplexing (UV-WDM) Submarine Fiber Cable Systems for Long Haul Depths,"Home,Vol 1, No 10 (2012),Rashed"
,"Kinjal Jadav, Mahesh Panchal",Optimizing Weights of Artificial Neural Networks using Genetic Algorithms,"Home,Vol 1, No 10 (2012),Jadav"
,"Neha Sharma, Yogendra Yadav",Simulation of Digital Modulation Techniques Using MATLAB,"Home,Vol 1, No 10 (2012),Sharma"
,ARUNKUMAR R,SECURED CERIFICATE THROUGH ZKP PROTOCOL IN WIRELESS ADHOC NETWORKS,"Home,Vol 1, No 10 (2012),R"
,Neeraj Jain,VLSI Design and Optimized Implementation of a MIPS RISC Processor using XILINX Tool,"Home,Vol 1, No 10 (2012),Jain"
,"Nazahat Jahan Balur, Prof. Sukanya Kulkarni",Design of Multiband Microstrip Antenna,"Home,Vol 1, No 10 (2012),Balur"
"A  RFID, GPS & GSM Based Vehicle Tracking and Employee Security System combine the installation of an electronic device in a vehicle, with purpose-designed computer software to enable the company to track the vehicle's location. In vehicle tracking systems we use Global Positioning System (GPS) technology for locating the vehicle. Vehicle information can be viewed on electronic maps via the Internet or specialized software. Due to recently happened mishaps such as burglary, rape cases etc., the employee safety, esp. for the women employees, has become a number one priority for most of the companies. Even though the companies take good precautions to ensure that its employees are safe, there are some serious loop holes in the existing system. Firstly there is no full proof mechanism to track the outsiders to avoid this kind of problem we are going to implement a system that provides more security to the employee. The car Unit is placed inside the car .When the car picks up the employee; he/she needs to swap the RFID card. The micro controller matches the RFID card no. with its database records and sends the employee’s id, cab id & the cab position co-ordinates to the company unit via GSM module. The GSM Modem will receive the message through GSM in the company unit. If employee finds himself/herself in a problem, he/she will press the button. Microcontroller will detect the action & sends a signal to the GSM which will coordinate with to the company unit and police. Microcontroller will also send a signal to the relay which will turn off the car ignition & stop the car. The GSM Modem will receive the message. This message will then be transferred to the computer through the serial port. The employee name, employee id & cab position coordinates (longitude and latitude) get displayed on computer. Once the data is obtained on the computer, it can be used for further analysis. In this way the company unit keeps a track of the vehicle. This will be a much simpler and low cost technique compared to others.","Ms.S.S. Pethakar, Prof. N. Srivastava, Ms.S.D. Suryawanshi","RFID, GPS & GSM Based Vehicle Tracing & Employee Security System","Home,Vol 1, No 10 (2012),Pethakar"
,Deepa M,Wavelet and Curvelet based Thresholding Techniques for Image Denoising,"Home,Vol 1, No 10 (2012),M"
,,,
,D.Kerana Hanirex,A Comparative Analysis on Mining Frequent  Itemsets,"Home,Vol 1, No 10 (2012),Hanirex"
,,,
 ,Dr. Ikvinderpal Singh,Face Recognition through Multilayer Perceptron (MLP) and Learning Vector Quantization (LVQ),"Home,Vol 1, No 10 (2012),Singh"
,"Shrunkhala Satish Wankhede, Ms. S. A. Chhabria",EYE BASED CONTROL SYSTEM,"Home,Vol 1, No 10 (2012),Wankhede"
In this paper pprivacy attacks to ad hoc routing protocols become an important issue as mobile ad hoc networks enter security critical domains. We modified Rids scheme for node location privacy in ANDOR protocol in mobile adhoc network. RIDS scheme also provide facility for the detection of wormhole attack and node misbehaviors in adhoc network. Different author proposed a different scheme for RIDS for providing security in mobile adhoc network. But all technique suffered common problem that problem is generation of node ID and protection of node ID in location based routing protocol. In this dissertation we modified the RIDS model for node id generation technique for identification of location of secured node. For these process we used cyclic shift technique for node ID generation. Here we discuss RIDS ANDOR and describe our proposed scheme.,"Satish Shrivastava, Nitin Agrawal, Sitendra Tamrakar",Receiver Location Privacy in  MANET By Using cyclic technique for node ID generation,"Home,Vol 1, No 10 (2012),Shrivastava"
,Indu Maurya,DETERMINING THE POSITIONING ALGORITHM FOR FINGERPRINTING USING WLAN,"Home,Vol 1, No 10 (2012),Maurya"
,"Ms. Laxmi Singh, Prof.  Dr. Biplabkumarsarker",R-MAC Schedule Protocol for Improving Performance of Wireless Sensor Network,"Home,Vol 1, No 10 (2012),Singh"
,"Rehana Sharif, Sonia Gull, Mohsin Nazir",A Model for Web developer to overcome the Cross Platform Dependency in Mobile Technologies,"Home,Vol 2, No 1 (2013),Sharif"
,"Krishna N. Chaudhari, Dr. Dharmistha D. Vishwakarma, Anand B. Patel",BER Improvement in MIMO system using OFDM,"Home,Vol 2, No 1 (2013),Chaudhari"
,"Alesh Kumar Sharma, Satyam Maheswari",Network Intrusion detection by using PCA via SMO-SVM,"Home,Vol 1, No 10 (2012),Sharma"
,"Rohan G. Chaudhari, Dr. Dharmistha D. Vishwakarma, Pranav B. Lapsiwala",Energy Efficient LEACH Protocol for Wireless Sensor Networks,"Home,Vol 2, No 1 (2013),Chaudhari"
,Ahmed Nabih Zaki Rashed,"Dense Wavelength Division Multiplexing (DWDM) Based Optical Code Division Multiple Access (OCDMA) for Indoor, Short, and Outdoor Applications","Home,Vol 2, No 1 (2013),Rashed"
,"G.Sri Teja, Deepa G.M, Prof. S. Venkateswarlu",Attacking Cloud through cache based side channel in virtualized environment,"Home,Vol 2, No 1 (2013),Teja"
,"Md. Quamruzzaman, Rashed Hossain Miraj, Md. Sunyuzzaman Chowdhury",Voltage Level and Transient Stability Enhancement of a Power System Using STATCOM,"Home,Vol 2, No 1 (2013),Quamruzzaman"
 ,"J. Ghayathri, E. Mohana Priya",Software Quality Models: A Comparative Study,"Home,Vol 2, No 1 (2013),Ghayathri"
,"Tejas Vaidya, Parag Swami, Sumit Rindhe, Shachi Kulkarni, Sunil Patil",Avalanche Monitoring & Early Alert System Using Wireless Sensor Network,"Home,Vol 2, No 1 (2013),Vaidya"
,"P. G. Magdum, D. V. Kodavade",GRAMMAR FOR CHECKING THE SYNTACTIC VALIDITY OF ENGLISH SENTENCE,"Home,Vol 2, No 1 (2013),Magdum"
,"G.S. Raghavendra, G. Sriteja, Prof S. Venkateswarlu",Channel Model Components and Modeling types in Wireless systems,"Home,Vol 2, No 1 (2013),Raghavendra"
,"Anjul Jain, Diksha Bhargava Bhargava, Anjani Rajput",TOUCH-SCREEN TECHNOLOGY,"Home,Vol 2, No 1 (2013),Jain"
,"POONAM SINGH, ANAND SINGH",AUTOMATIC GENERATION CONTROL OF POWER SYSTEM WITH ANN CONTROLLER,"Home,Vol 2, No 1 (2013),SINGH"
,"T. Indumathi, T. B. Loganayagi",Wireless Body Area Sensor System for Monitoring Physical Activities Using GUI,"Home,Vol 2, No 1 (2013),Indumathi"
,"Vikas Sahu, Mr. Pradeep Kumar",Power Reduction & Speed Augmentation in LFSR for Improved Sequence Generator using Scaling Principle and Transistor Stacking,"Home,Vol 2, No 1 (2013),Sahu"
,"Prashant Chaturvedi, Tarun Verma, Rita Jain",Design of Pipelined architecture for jpeg image compression with 2D-DCT and Huffman Encoding,"Home,Vol 2, No 1 (2013),Chaturvedi"
 ,"Mr. Ashish Jain, Asst. Prof. Anand Singh",Performance and analysis of FACTS controller SVC and SSSC using MATLAB/Simulink,"Home,Vol 2, No 1 (2013),Jain"
 ,"SHAIK. JUMLESHA, DR.CH. SATHYANARAYANA",RATE DISTORTION OPTIMIZATION	FOR MOTION -PARAMETERS OF VIDEO CODING USING 3D-DWT,"Home,Vol 2, No 1 (2013),JUMLESHA"
,"Reshma Rai, Jitendra Jadhav",IMPLEMENTATION OF SMART FILTER TO AVOID SQL INJECTIONS WITH SIGNATURE BASED INTRUSION DETECTION,"Home,Vol 2, No 1 (2013),Rai"
,"Jyoti Kedia, Dr. Neena Gupta",MATHEMATICAL MODELING OF RING RESONATOR FILTERS FOR PHOTONIC APPLICATIONS,"Home,Vol 2, No 2 (2013),Kedia"
,"Shaik Ahemedali, Divi satish kumar, Maramreddy Ashok",Comparative analysis of standard multipliers with efficient multiplier for floating-point applications,"Home,Vol 2, No 2 (2013),Ahemedali"
,ASHWANI PATEL SINGH,A Novel Shield Shaped Microstrip Patch Antenna,"Home,Vol 2, No 2 (2013),SINGH"
,Ahmed Nabih Zaki Rashed,Signal Losses and Allowable Optical Received Power Prediction for Optical Wireless Communication Links,"Home,Vol 2, No 2 (2013),Rashed"
 ,"Pankaj Pandey, Prof. Niket Bhargava",Size & Complexity Design Metrics Identification to Predict Software’s Future Attack Surface at Design Stage for Object Oriented Design,"Home,Vol 1, No 10 (2012),Pandey"
,"Indu Nair, Dr. V. Mukunda Das",Examining teachers’ intentions of using technology as teaching tool: Using Structural Equation Modelling,"Home,Vol 2, No 2 (2013),Nair"
 ,"Ms.Dolypona Das, Mr. Vedanarayanan",IDENTIFICATION OF OBSTRUCTIVE SLEEP APNEA THROUGH SpO2 AND ECG SIGNAL FEATURES BY USING AN EFFICIENT NEURAL NETWORK SYSTEM,"Home,Vol 2, No 2 (2013),Das"
,"Saima Ayyub, Awadhesh.K.G. Kandu",Design and Implementation Of Low Power CMOS Full Adder Circuit in Nano scale CMOS Processes,"Home,Vol 2, No 2 (2013),Ayyub"
,"KALAIGNANASELVI. A, NARASIMMALOU. T",Finger print and Palm print based Multibiometric Authentication System with GUI Interface,"Home,Vol 2, No 2 (2013),A"
,"Alphin John, Kevin C. Fernandez, Dr. Jossy P. George",A PROXY AGENT FOR CLIENT SYSTEMS (APACS),"Home,Vol 2, No 2 (2013),John"
,"T. Ravi, Mathan. N, V. Kannan",Design and Analysis of Low Power Single Edge Triggered D Flip Flop,"Home,Vol 2, No 2 (2013),Ravi"
,"Chesti Altaff Hussain, P.Gopi Raghavendra, V.Mani Kumar, V.Swapna priya",LIBRARY AUTOMATION SYSTEM,"Home,Vol 2, No 2 (2013),Hussain"
,"S. RANJITH, T. RAVI, E. LOGASHANMUGAM",Design and Analysis of Parity Preserving Fault Tolerant Reversible Logic Shift Registers Using New 4*4 RR-Gate,"Home,Vol 2, No 2 (2013),RANJITH"
,"Ms. Pragati D. Chowhan, Prof. S. S. Dhande",Comparative Study of the Modularization Techniques used for an OOS System to Achieve Quality,"Home,Vol 2, No 2 (2013),Chowhan"
 ,"T. SRAVANTHI, O.VIJAYA LAKSHMI, N. SYAMALA, B.SUNIL KUMAR",PREPAID ELECTRICITY BILLING SYSTEM USING GSM MOBILE,"Home,Vol 2, No 2 (2013),SRAVANTHI"
,"Harshpreet Kaur, Meenu Chinwan",Modelling and Analysis of 8PSK Modulation Scheme Using AWGN Channel for WCDMA System,"Home,Vol 2, No 2 (2013),Kaur"
,"Shashank Khandelwal, Parthiv Shah, Mr. Kaushal Bhavsar, Dr. Savita Gandhi",Frontline Techniques to Prevent Web Application Vulnerability,"Home,Vol 2, No 2 (2013),Khandelwal"
 ,"Dhaval J. Rana, Nirav M. Raja",A New Method for Network Lifetime Maximization in Wireless Sensor Network,"Home,Vol 2, No 2 (2013),Rana"
,"Rupali ., Gaurav Gupta","Data Mining: Techniques, Applications and Issues","Home,Vol 2, No 2 (2013),."
 ,"Vivek Kaundal, Rajesh Singh, Anant Wadhwa, Shashank Mishra, Tarun Garg",Wireless Personal Area Network Node Design with RFID Using ZigBee Transceiver Module,"Home,Vol 2, No 2 (2013),Kaundal"
 ,Mr. Mahesh P. Gaikwad,The Design of Real Time Operating Systems for Embedded Systems,"Home,Vol 2, No 2 (2013),Gaikwad"
,J.S. Prasath,Wireless monitoring of Heart Rate using Microcontroller,"Home,Vol 2, No 2 (2013),Prasath"
This Paper is based on our project named as propellar clock display. It can be Called as 7 LEDs innovation.,"N. Sudhakar Reddy, Dr. Bhattacharya, Dr. Ranganathan",Wireless Purpose 7 LED's Clock Display,"Home,Vol 2, No 2 (2013),Reddy"
,"A K Chandanan, M K Shukla",Data mining for qualitative dataset Using association rules: A review,"Home,Vol 2, No 2 (2013),Chandanan"
 ,"Mrs. Rakhi Saxena, Mrs. Deepika Shrivastava",FOREIGN DIRECT INVESTMENT IN MULTI BRAND RETAIL CHALLENGES AND ISSUES,"Home,Vol 2, No 2 (2013),Saxena"
,"Nupur Saxena, Neha Rathore",Speckle Reduction in SAR images using Wavelet Transform and Bivariate Shrinkage Function,"Home,Vol 2, No 2 (2013),Saxena"
,"Balwinder Singh, Ravinder singh, Harmandeep Singh",Removal of High Density Salt & Pepper Noise in Noisy color Images using Proposed Median Filter,"Home,Vol 2, No 2 (2013),Singh"
 ,"Tarana Shaikh, Anand Mane",MAC Protocols researched for Wireless Sensor Networks,"Home,Vol 2, No 3 (2013),Shaikh"
,"Nupur Saxena, Neha Rathore",A Review on Speckle Noise Filtering Techniques for SAR Images,"Home,Vol 2, No 2 (2013),Saxena"
,"Sunaina Sulthana Sk, Geethika Thatiparthi, Raghavendra S Gunturi",CLOUD AND INTELLIGENT BASED SCADA TECHNOLOGY,"Home,Vol 2, No 3 (2013),Sulthana Sk"
,"Joash Kiprotich Bii, Dr. Waweru Mwangi, Dr. Stephen Kimani",The Implication of External Constraints on User Experience (UX): Prioritizing User Experience Dimensions on Mobile Devices,"Home,Vol 2, No 3 (2013),Bii"
,"Gaurav Khurana, Umesh Goyal",An Insight Comparison of Serial Communication Protocols,"Home,Vol 2, No 3 (2013),Khurana"
,"Ms.G.Dona Rashmi, Dr. V. Narayani",Analysis of Web Usage Behavior using Pattern Analyzing Techniques in  E-Learning system,"Home,Vol 2, No 3 (2013),Rashmi"
,"Ruchi Gupta, Kinjal Mehta, Kaushal Bhavsar, Dr. Hiren Joshi",Mobile Web Analytics,"Home,Vol 2, No 3 (2013),Gupta"
,"Ahmed Nabih Zaki Rashed, Mohamed  M. Zahra, Mohamed Yassin, Ismail A. Abd El-Aziz, Shreen A. El-Bheiry",Optical Code Division Multiple Access Performance Signature Over Multimode Optical Fiber Transmission Systems,"Home,Vol 2, No 3 (2013),Rashed"
,"Chaudhary Pankaj prabhubhai, Prof.Yagnesh.B. Shukla, Mrs.Hetal .M. Pathak",Design of Log Periodic Dipole Array Antenna Using One Side with Compare Two Dielectric Material Results,"Home,Vol 2, No 3 (2013),prabhubhai"
,"N. Sivaram, T. Santha",A  Novel Approach to Analyze and Predict        Aircrash in Aviation,"Home,Vol 2, No 3 (2013),Sivaram"
 ,"Preethi. D, Priya. J, Saranraj. G",Enhancing Security Using Graphical Patterns Selection (ENSUGPS),"Home,Vol 2, No 3 (2013),D"
,"Sitesh Kumar Sinha, Dr. R.K. Singh, Krishna kumar Pandey, Mukesh Kumar Sahu",DISTRIBUTED DENIAL OF SERVICE ATTACK PREVENTION USING CRITICAL LINK METHOD IN MANET,"Home,Vol 2, No 3 (2013),Sinha"
,"Mr.V.Bharathan Iyer, Mr.P. Venkatesan",RADAR IMPLEMENTATION ON FOREST VEGETATIONS,"Home,Vol 2, No 3 (2013),Iyer"
 ,"Adish Jain, Doshi Yashkirti, Patil Abhishek Sanjay, Patil Amit Mahaveer",Modified Distributed Source Coding using Syndromes for WSNs,"Home,Vol 2, No 4 (2013),Jain"
"This paper presents modeling and simulation of PVA system in matlab simulink.The model  based on exponential equation of pv module. It needs less input  values and is more accurate. Here by varying temperature and irradiance as input variables we obtained the I-V, P-V characteristics  and hence the harmonic distortion analysis can be made in different phases of supply  system.The model has been validated with experimental data of a commercial PV module KC200GT.","Jayshree sahu, prof Ashfaque Khan, Dr.S.K. Sahu",A photovoltaic system simulation for Matlab-simulink,"Home,Vol 2, No 3 (2013),sahu"
,"P. Kalaiselvi, N. Mahendran",Energy Efficient Resource Sharing and Scheduling for Video over Wireless Networks,"Home,Vol 2, No 3 (2013),Kalaiselvi"
,"Jayshree sahu, M.Ashfaque Khan, Dr.S.K. Sahu",Comprehensive evaluation of PV-Wind  Hybrid system using MATLAB/Simulink,"Home,Vol 2, No 3 (2013),sahu"
 ,"G. Himaja, B. Rambabu, B.Malakonda Reddy",Providing Security for ATMs Using Digital Image Processing for Abnormal Incident Detection,"Home,Vol 2, No 4 (2013),Himaja"
.  ,"Meena Chavan, Abhishek Jana, Satish Kuamar, Vaibhav Tyagi",Fingerprint Detection for Medical Application,"Home,Vol 2, No 4 (2013),Chavan"
 ,Dr. Ahmed Nabih Zaki Rashed,Microstrip Transmission Lines Operation at Tera Hertz Frequency for the proper applications in Venerable Circuit Technology,"Home,Vol 2, No 4 (2013),Rashed"
,,,
 ,Nasrin Hakim Mithila,"Performance analysis of DSDV, AODV and DSR in Wireless Sensor Network","Home,Vol 2, No 4 (2013),Mithila"
 ,"Vasili Supraja, P. Mahesh Kannan",LOW POWER IMPLEMENTATION OF OPTIMUM COMPOSITE FIELD ARCHITECTURE WITH MINIMAL AREA FOR HIGH-TROUGHPUT AES S-BOXES,"Home,Vol 2, No 4 (2013),Supraja"
 ,"Viswanath Gowd A, Yedukondala Rao V, T. Shanmuganantham",1-D DCT Using Latency Efficient Floating Point Algorithms,"Home,Vol 2, No 4 (2013),Gowd A"
 ,Gysberth Maurits Wattimena,Performance Analysis of Statistical Distributions for VoIP over WiMAX Access Networks,"Home,Vol 2, No 4 (2013),Wattimena"
 ,"Suresh S, Shobana M",Enhancing Information Retrieval using Concept- Based Mining Model with Feature Extraction and Clustering,"Home,Vol 2, No 4 (2013),S"
 ,"Md. Baharul Islam, Md. Tukhrejul Inam, Balaji Kaliyaperumal",Overview and Challenges of Different Image Morphing Algorithms,"Home,Vol 2, No 4 (2013),Islam"
 ,"Jyoti M. Giri, Prof. S.M. Kulkarni",A Reliable Zigbee Communication Based Wireless Sensor Network Using Collision Avoidance Protocol For Gas Plant,"Home,Vol 2, No 4 (2013),Giri"
,"Priya R. Lodha, Mr. Avinash P. Wadhe",Study of Different Types of Workflow Scheduling Algorithm in Cloud Computing,"Home,Vol 2, No 4 (2013),Lodha"
,,,
 ,"Aqsa Zahid, Rehana Sharif",Content Matching – Detection of Duplicate and Near Duplicate Videos,"Home,Vol 2, No 4 (2013),Zahid"
 ,"Manorama Mishra, Prof. Rajesh Nema",DESIGNING OF CMOS OP-AMP USING REVERSE NESTED MILLER COMPENSATION TECHNIQUE TO IMPROVE GAINBANDWIDTH AND LOADING CAPACITY,"Home,Vol 2, No 4 (2013),Mishra"
 ,"Shanoo Garg, Divya Upadhyay",S-Box Design Approaches: Critical Analysis and Future Directions,"Home,Vol 2, No 4 (2013),Garg"
 ,"Ambreen Anjum, Muhammad Nabeel Aslam, Rehana Sharif",The Design of a Semantic Search Engine based on “Visual Content”,"Home,Vol 2, No 4 (2013),Anjum"
,"Sachin Bandewar, Mala Kushwaha, Shweta Raghuwanshi",METASTABILITY ERRORS IN CMOS   INTERFACE CIRCUITS,"Home,Vol 2, No 5 (2013),Bandewar"
,"Channu Kokila, K. Ramesh","Effect of Texture, Shape, and Intensity Feature Fusion for Posterior-Fossa Tumor Segmentation in MRI","Home,Vol 2, No 4 (2013),Kokila"
 ,"Ch. Kranthi, R. Ravikumar",Signal Transmission by Galvanic Coupling Through the Human Body and inter facing with real world,"Home,Vol 2, No 5 (2013),Kranthi"
 ,"SAMEERA KANCHWALA, Mr. AMOL BARVE",Three Phase Current Measurement of Ac Drives Using Single Current Sensor & Vector Insertion,"Home,Vol 2, No 5 (2013),KANCHWALA"
 ,Miss. Kranti Bhoite,Call Admission Control Policy for handoff call congestion control,"Home,Vol 2, No 5 (2013),Bhoite"
,,,
 ,"Akshatha N Gowda, Girijamba D L, Rishika G N, Shruthi S D, Niveditha S",Smart Home Control using Lab VIEW,"Home,Vol 2, No 5 (2013),Gowda"
,"Rakesh P. Borase, Bhagsen J. Parvat",Variable Structure Control Design for Isothermal Chemical Reactor: Sliding Mode Approach,"Home,Vol 2, No 5 (2013),Borase"
 ,"Sarang Masani, Ila Parmar, Hitendra Jadeja",Cavity Backed Slot Antenna,"Home,Vol 2, No 5 (2013),Masani"
 ,"Dr. Pooja Sharma, Dr. Smriti Babbar",A Destination-Initiated Mix Route Algorithm in MANET,"Home,Vol 2, No 5 (2013),Sharma"
"In this paper three computing techniques are integrated via a Middleware software agent.  Mobile computing involves mobile interaction, mobile hardware, and mobile software, where as cloud computing relies on sharing  of resources  to meet coherence and economies of scale over a network.   Green computing is similar to cloud computing but it is more related to selecting energy-efficient networking technologies and products, and minimizing resource use whenever/wherever possible. A novel approach is proposed where Middleware is coordinating between mobile and cloud computing techniques to achieve green computing for next generation where people are mostly talk about global warming.",Chandrakant N,Green Computing and Mobile-Cloud-Computing Inspired Middleware for Next Generation,"Home,Vol 2, No 7 (2013),N"
"Speaking in terms of authentication and data encryption, the original design of IPv4 totally lacks security mechanisms. The security option in IPv4 header fields only exists as a means of compartmenting the data carried in the datagram. Furthermore, the “security” that it provides is effective only so long as the receivers of IP traffic obey the standard. Applications can provide the means of ensuring data confidentiality, integrity, and authenticity. Part of the problem with depending on applications is that there is no standard, and the methods of securing data vary from application to application. In this paper IPsec architecture is discussed along with the various modes in which it operates for next generation networks.","Savita Shiwani, Prof. G.N. Purohit, Teena Sharma",Security Management in Next Generation Networks,"Home,Vol 2, No 7 (2013),Shiwani"
 ,"TejdedaAlhussen Alhadi, Dr. Abdualhafid Shuwehdi, Sagaya Aurelia, Xavier Patrick Kishore, Dr. Omer Jomah",Classification for Object-Oriented Cohesion Metrics,"Home,Vol 2, No 5 (2013),Alhadi"
"Cooperative communication has received tremendous interest for wireless networks. Most existing works on cooperative communications are focused on link-level physical layer issues. Consequently, the impacts of cooperative communications on network-level upper layer issues, such as topology control, routing and network capacity, are largely ignored. In this article, we propose a Capacity-Optimized Cooperative (COCO) topology control scheme to improve the network capacity in MANETs by jointly considering both upper layer network capacity and physical layer cooperative communications. Through simulations, we show that physical layer cooperative communications have significant impacts on the network capacity, and the proposed topology control scheme can substantially improve the network capacity in MANETs with cooperative communications.","AERUPULA UMA, ARUN KUMAR.R, CH. SREEDHAR, ROHITH. S, A.RAKESH REDDY",MANETS: TOPOLOGY CONTROL WITH COOPERATIVE COMMUNICATIONS,"Home,Vol 2, No 6 (2013),UMA"
"Optical filters are a fundamental part of spectrometric measurements of ultraviolet (UV), visible and infrared (IR) radiation. In the present paper, optical filter is considered as a part of an optical system that has the purpose of modifying the intensity, polarization or, in particular, the spectral distribution of light. A beam of light enters through an aperture, is modified, and exits through one or more apertures. For reconfigurable filters a signal is applied to tune the filter’s properties or change between different configurations. Filters of some sort are essential to the operation of most electronic circuits. It is therefore in the interest of anyone involved in electronic circuit design to have the ability to develop filter circuits capable of meeting a given set of specifications. Optical filters are made from glass that absorbs specific wavelengths of the spectrum. They are relatively inexpensive and are very durable under most conditions. Frequency response, signal quality, bit error rates and filter gain in dB are the major interesting parameters for different categories of signal filtering under operation considerations. Capacitance values for filter circuits are estimated based on known corner wavelength for different optical transmission bands.",Ahmed Nabih Zaki Rashed,A new Generation of Optical Filters Performance Response for Different Categories of Signal Filtering,"Home,Vol 2, No 7 (2013),Rashed"
"This paper presents a new group of single phase cascaded 15 level inverter with reduced switch count that operates in asymmetric mode. The proposed multilevel inverter produce DC voltage levels similar to other topologies with less number of semiconductor switches. This paper also presents various modulating techniques include sinusoidal pulse width modulation, modified reference modulating technique. i.e., Third harmonic injected reference with triangular carrier waves. Different performance measures like THD,VRMS, CF, and FF have also been evaluated by simulation. The simulation of proposed circuit is carried out using MATLAB /SIMULINK and the result for the same are presented in this paper","V. Arun, B. Shanthi, S.P. Natarajan",Performance Analysis of Single Phase Reduced Switch Asymmetric Multilevel Inverter,"Home,Vol 2, No 6 (2013),Arun"
": In the previous paper we have discussed about the water level control in the ‘Three Non- Interacting Tank System’ with help of the Intelligent Fuzzy Controller over the classical method, in which we noticed that the performance of Classical method was very poor, system was slow i.e. response was slow and less accurate than that of Fuzzy Control system[1]. This paper discusses about comparing the performance of Intelligent Fuzzy Control system based on Three, Five and Nine Fuzzy rules. In that either comparing response of a single or interacting tank system with three rule based method, which gives better response, more accuracy than classical method. On the other hand, five rule based method is more complex and more accurate but system becomes slow than three rule based, because as increase in rule base makes system bulky more and more, but accuracy increase. Thus, nine rule based method makes system too bulky due to which system becomes very slow as compared to five and three rule based method but this system is more accurate than others. This paper provides information about complexity of system, performance and accuracy with different rule bases. The system’s overall performance will be optimum but it requires more practice, skill or experience. So, out of Three, Five and Nine rule method, the five rule system shows optimum behaviour.","Ashok Kumar, Rajbir ., Kuldeepak .","Performance Comparison of Level Control with the Three, Five & Nine Fuzzy Rules based method","Home,Vol 2, No 7 (2013),Kumar"
"Recently, researchers have been active in Intelligent Transport System (ITS) development, especially connecting vehicles each other using the Vehicular Ad-hoc Networks (VANETs).VANETs are distributed, self-organizing communication networks built up by moving vehicles, and are thus characterized by very high mobility and limited degrees of freedom in movement patterns. VANETs are an emerging research area, currently research being focused not only on providing potential applications for such type of networks, but also on providing services for emergency vehicle. We introduce a novel architecture for certain vehicles such as ambulance, fire service vans, police patrols need to be given a high priority in our envisioned network architecture, as their requirements are crucial during emergency situations. The traditional siren, they could use radio communication to warn other vehicles or to preempt traffic lights. We design architecture for an emergency vehicle communication. In VANET, vehicles uses the inter vehicle communication but, also involve roadside infrastructure like traffic lights. In our system other vehicles are warn of an approaching emergency vehicle. They also receive the detail information about the emergency vehicle and other route information. By receiving detail information, timely and correct action taken by the driver is possible, such application saves the valuable time and lives.","Supriya Bhosale, Prof. N. A. Dhawas, Ashwini Burkul",VANET Based Communication for Emergency Vehicles,"Home,Vol 2, No 7 (2013),Bhosale"
"Wireless sensor networks are rapidly gaining popularity so as to cater to the requirements of different applications. This system unifies various home appliances, smart sensors and energy technologies. The smart energy market requires two types of ZigBee networks for device control and energy management. We use IEEE 802.15.4 and ZigBee to effectively deliver solutions for a energy management and efficiency for home automation. We present the design to evaluate the performance of the home automation users for a network-based smart home energy control. This paper designs smart home energy management descriptions and application environment. Current building control strategies are unable to incorporate occupant level comfort and meet the operation goals. In this, we present a building control strategy that optimizes the tradeoff between meeting user comfort and reduction in operation cost by reducing energy usage. We present an implementation of the proposed approach as an intelligent lighting control strategy that significantly reduces energy cost. Using this we can evaluate the network performance in smart homes.","Ashwini Burkul, Prof. S. S. Wagh, Supriya Bhosale",Smart Energy Management System Using WSN,"Home,Vol 2, No 7 (2013),Burkul"
